54.97,0,0,0,0,65.68,42.51,7.40
17.80,1,0,0,1,24.26,44.12,0.16
37.37,2,0,1,1,36.78,29.18,3.15
64.80,3,0,1,2,52.46,58.21,3.71
129.25,2,0,2,0,60.38,65.01,4.56
61.66,4,1,1,3,52.02,86.61,44.71
30.50,0,0,0,4,44.16,34.35,1.63
721.55,5,2,2,5,83.90,88.66,1.01
120.10,6,2,2,6,74.55,20.35,17.11
54.11,3,0,1,7,40.44,30.59,48.26
100.78,7,0,0,8,51.31,36.52,1.21
225.93,8,0,1,9,94.76,87.38,5.63
103.32,9,0,2,1,46.43,60.55,62.50
50.84,10,0,1,10,35.33,24.45,1.74
290.04,11,1,0,3,20.41,79.69,73.31
385.54,12,1,2,1,18.85,90.25,92.27
81.54,2,0,2,11,51.46,88.28,1.70
1308.47,13,2,0,0,87.30,27.23,5.19
93.62,14,0,1,2,49.28,58.37,38.71
82.98,15,0,1,8,47.48,39.56,2.15
24.56,6,2,1,2,30.86,25.01,3.68
75.95,16,0,0,12,62.31,52.27,13.52
558.12,17,2,0,6,27.28,24.03,82.65
275.28,14,0,0,0,53.32,59.05,1.82
783.63,18,0,1,13,52.86,80.71,0.35
98.52,10,0,1,13,57.31,66.30,37.05
1113.82,12,2,0,0,20.02,57.46,95.06
115.97,19,0,0,5,51.24,83.47,47.25
449.58,17,1,2,3,19.18,87.68,83.95
77.37,6,1,0,14,10.93,8.82,56.02
71.93,20,0,1,14,43.69,34.98,48.74
433.21,18,0,0,10,50.73,89.34,0.35
295.47,11,1,1,3,17.67,74.74,72.76
57.18,7,0,1,3,49.86,61.55,3.07
15.70,1,0,0,12,39.49,41.38,1.25
312.65,21,1,0,11,51.24,96.34,63.10
154.24,4,1,0,5,88.23,94.41,24.80
384.97,9,0,2,15,80.09,94.57,26.55
44.41,2,0,0,16,75.94,25.08,4.15
476.90,12,1,2,11,31.60,97.56,87.69
77.69,15,0,2,14,40.81,30.63,56.70
27.39,6,2,0,0,63.15,28.74,3.47
225.65,4,1,0,0,62.08,78.16,53.11
239.05,13,1,1,10,20.37,31.60,89.47
67.34,15,0,2,7,44.79,34.54,6.15
66.64,22,0,2,7,39.43,36.53,33.83
563.41,13,1,2,13,94.70,87.91,2.50
37.64,2,0,0,10,38.88,17.52,0.18
344.83,8,0,2,11,95.04,78.00,1.71
51.67,19,0,0,6,41.11,25.46,35.25
246.25,5,1,0,13,77.82,89.91,24.32
262.12,8,0,0,11,69.48,72.62,60.89
95.81,17,1,0,1,55.28,62.55,30.89
55.47,15,0,1,1,41.40,58.03,32.75
336.84,17,2,2,11,82.55,94.50,3.01
133.73,16,0,0,16,70.93,36.55,5.13
65.93,23,1,1,2,65.37,42.32,31.39
137.80,15,0,0,8,46.75,42.14,5.36
108.19,8,0,1,7,56.16,39.69,66.67
100.96,21,2,1,6,74.16,17.72,17.60
74.15,9,0,2,7,61.39,33.98,4.39
207.07,24,0,0,8,68.53,40.08,88.57
174.22,16,0,2,5,64.23,72.34,29.12
118.27,11,1,0,17,52.70,30.16,4.09
71.80,24,0,2,4,20.32,36.65,52.59
38.92,0,0,2,14,43.76,20.12,3.15
251.67,8,0,1,13,86.99,59.87,25.71
668.80,25,0,1,13,52.50,67.24,0.50
179.24,26,0,0,7,48.05,56.63,0.51
163.18,26,0,1,8,51.67,44.57,0.65
65.47,19,0,2,10,41.11,36.66,39.39
170.25,27,0,2,17,50.14,41.91,0.97
16.57,1,0,1,15,77.84,68.43,16.43
146.10,9,0,0,5,85.59,72.13,3.36
55.71,3,0,1,14,43.20,16.45,1.85
359.88,25,0,0,6,45.28,35.17,15.31
172.68,28,0,0,11,49.89,90.14,2.00
235.92,21,1,1,15,57.03,96.87,54.77
80.55,15,0,1,12,48.92,44.19,2.99
269.81,26,0,1,13,55.04,65.92,1.07
86.25,28,0,1,16,57.64,31.74,4.34
376.58,5,2,1,12,77.74,47.89,1.11
135.96,8,0,1,8,88.29,29.68,1.07
1317.78,20,0,2,12,52.97,97.04,3.23
83.10,27,0,1,0,59.91,35.62,3.93
68.96,24,0,1,4,28.17,50.00,75.26
1239.31,7,0,0,5,52.68,71.51,0.35
231.32,23,1,0,6,18.76,19.43,90.71
636.30,11,1,1,15,27.47,94.14,85.96
821.08,13,2,2,3,85.33,70.82,11.29
107.80,3,0,1,0,60.87,34.04,3.01
52.13,0,0,2,8,58.00,29.99,6.38
1088.00,25,0,2,11,50.73,60.55,0.55
84.91,12,1,1,8,53.95,45.34,34.85
231.55,21,2,0,6,60.48,29.14,48.33
17.64,1,0,0,16,72.19,32.37,0.85
269.66,11,1,2,16,71.02,67.98,34.41
188.38,21,1,0,16,74.44,73.47,36.35
27.75,6,2,1,9,59.93,55.76,2.99
145.10,5,1,0,3,56.53,77.92,42.71
90.79,14,0,0,1,45.16,43.88,1.68
58.23,4,1,1,12,67.37,62.41,9.75
49.00,27,0,1,2,53.52,38.16,2.90
75.79,24,0,2,11,49.48,67.71,7.40
37.73,2,0,1,17,55.75,15.04,0.13
1614.67,18,0,0,16,52.47,66.80,0.22
35.53,29,0,1,10,39.27,20.97,2.21
171.57,14,0,0,2,50.50,55.65,17.10
21.12,1,0,1,6,36.43,7.89,1.60
60.36,4,1,1,8,66.29,36.41,24.94
34.69,0,0,0,1,44.30,28.74,1.76
244.92,12,1,0,11,32.63,88.62,83.56
70.65,9,0,1,14,52.99,23.75,36.93
101.80,8,0,0,4,83.69,49.04,1.36
821.02,13,2,1,11,50.69,45.73,47.45
135.58,15,0,0,12,47.69,75.85,3.91
121.83,4,1,2,10,53.58,74.05,63.64
99.11,27,0,0,2,52.73,47.45,0.96
299.36,8,0,2,3,95.28,80.21,2.53
